Id,Fecha,Estación,Tipo_Combustible,Litros_Vendidos,Precio_Unitario,Total_Venta,Tipo_Vehículo,Monto_Pagado,Método_Pago,Placa_Vehículo,Hora_Venta,Cliente_Frecuente
88,01-16-24,TEISA 1,Súper,5.39,3.1,16.71,Sedán,16.7,Transferencia,TUV-8765,8.0:54,Sí
89,01-16-24,TEISA 1,Diésel,12.92,1.8,23.26,Motocicleta,23.25,Transferencia,TUV-8765,6.0:21,No
90,01-16-24,TEISA 1,Súper,18.08,3.1,56.05,Sedán,56.06,Transferencia,TUV-8765,5.0:19,No
91,01-16-24,TEISA 2,Extra,78.35,2.4,188.04,Bus,188.05,Transferencia,Unidad 303,18.0:47,Sí
92,01-17-24,TEISA 1,Diésel,22.41,1.8,40.34,Bus,40.33,Efectivo,XYZ-5678,21.0:38,Sí
93,01-17-24,TEISA 1,Diésel,29.23,1.8,52.61,Camioneta,52.61,Tarjeta,KLM-4321,21.0:28,Sí
94,01-17-24,TEISA 1,Súper,37.23,3.1,115.41,Bus,115.42,Tarjeta,Unidad 303,20.0:17,Sí
95,01-17-24,TEISA 1,Súper,11.93,3.1,36.98,Camioneta,36.97,Transferencia,XYZ-5678,14.000005,No
96,01-17-24,TEISA 2,Súper,3.8,3.1,11.78,Sedán,11.78,Efectivo,ABC-1234,20.0:39,Sí
97,01-18-24,TEISA 1,Diésel,38.04,1.8,68.47,Bus,68.47,Tarjeta,KLM-4321,17.000009,No
98,01-18-24,TEISA 1,Diésel,28.01,1.8,50.42,Bus,50.42,Tarjeta,XYZ-5678,20.000007,No
99,01-18-24,TEISA 1,Súper,39.6,3.1,122.76,Bus,122.76,Transferencia,Unidad 404,12.0:28,Sí
100,01-18-24,TEISA 2,Extra,83.19,2.4,199.66,Bus,199.65,Transferencia,Unidad 303,6.0000000,Sí
101,01-19-24,TEISA 1,Súper,19.14,3.1,59.33,Sedán,59.32,Tarjeta,TUV-8765,14.0:36,Sí
102,01-19-24,TEISA 1,Súper,20.29,3.1,62.9,Bus,62.91,Tarjeta,TUV-8765,10.0:13,Sí
103,01-19-24,TEISA 2,Súper,5.51,3.1,17.08,Bus,17.09,Tarjeta,XYZ-5678,13.0:12,No
104,01-19-24,TEISA 2,Extra,14.27,2.4,34.25,Bus,34.24,Transferencia,ABC-1234,11.000004,Sí
105,01-19-24,TEISA 1,Súper,11.81,3.1,36.61,Sedán,36.6,Transferencia,XYZ-5678,8.0000000,Sí
106,01-19-24,TEISA 1,Extra,18.45,2.4,44.28,Camioneta,44.29,Transferencia,TUV-8765,10.000009,No
107,01-20-24,TEISA 1,Extra,19.12,2.4,45.89,Bus,45.88,Transferencia,ABC-1234,16.0:18,Sí
108,01-20-24,TEISA 2,Súper,61.88,3.1,191.83,Bus,191.84,Efectivo,Unidad 303,16.0:26,Sí
109,01-20-24,TEISA 1,Extra,25.41,2.4,60.98,Camioneta,60.98,Transferencia,ABC-1234,19.000002,No
110,01-20-24,TEISA 2,Diésel,20.68,1.8,37.22,Camioneta,37.23,Transferencia,XYZ-5678,19.0:56,No
111,01-20-24,TEISA 1,Diésel,22.41,1.8,40.34,Camioneta,40.33,Tarjeta,XYZ-5678,12.000004,Sí
112,01-20-24,TEISA 1,Diésel,10.46,1.8,18.83,Sedán,18.82,Transferencia,TUV-8765,12.0:26,Sí
113,01-21-24,TEISA 1,Súper,15.16,3.1,47.0,Motocicleta,47.01,Efectivo,ABC-1234,13.0:21,Sí
114,01-21-24,TEISA 1,Diésel,43.36,1.8,78.05,SUV,78.04,Transferencia,XYZ-5678,7.0:42,Sí
115,01-21-24,TEISA 1,Diésel,13.36,1.8,24.05,Bus,24.04,Transferencia,KLM-4321,10.0:15,No
116,01-21-24,TEISA 1,Diésel,102.03,1.8,183.65,Bus,183.65,Efectivo,Unidad 202,6.0:15,Sí
117,01-21-24,TEISA 2,Extra,25.73,2.4,61.75,SUV,61.74,Tarjeta,KLM-4321,9.0:15,No
118,01-21-24,TEISA 1,Diésel,10.73,1.8,19.31,Sedán,19.31,Transferencia,KLM-4321,8.0:47,Sí
119,01-22-24,TEISA 2,Súper,17.81,3.1,55.21,Bus,55.2,Transferencia,ABC-1234,19.0:18,Sí
120,01-22-24,TEISA 1,Diésel,23.57,1.8,42.43,SUV,42.43,Transferencia,KLM-4321,12.0:41,No
121,01-22-24,TEISA 1,Súper,25.66,3.1,79.55,Motocicleta,79.54,Tarjeta,KLM-4321,11.000006,No
122,01-22-24,TEISA 1,Súper,13.88,3.1,43.03,SUV,43.03,Transferencia,KLM-4321,6.0:29,No
123,01-22-24,TEISA 1,Extra,27.42,2.4,65.81,Sedán,65.81,Transferencia,KLM-4321,19.0:49,No
124,01-22-24,TEISA 1,Diésel,11.68,1.8,21.02,SUV,21.02,Transferencia,ABC-1234,18.0:35,No
125,01-23-24,TEISA 1,Súper,24.82,3.1,76.94,Camioneta,76.93,Efectivo,TUV-8765,8.0:58,Sí
126,01-23-24,TEISA 1,Diésel,84.76,1.8,152.57,Bus,152.57,Transferencia,Unidad 202,12.0:48,Sí
127,01-23-24,TEISA 1,Diésel,15.73,1.8,28.31,SUV,28.32,Efectivo,XYZ-5678,9.0:43,No
128,01-23-24,TEISA 2,Extra,15.09,2.4,36.22,Sedán,36.22,Tarjeta,TUV-8765,11.0:31,No
129,01-23-24,TEISA 1,Extra,68.03,2.4,163.27,Bus,163.27,Transferencia,Unidad 101,6.0000000,Sí
130,01-23-24,TEISA 1,Diésel,7.19,1.8,12.94,Sedán,12.95,Transferencia,ABC-1234,18.0:46,Sí
131,01-23-24,TEISA 1,Diésel,43.33,1.8,77.99,Bus,77.99,Tarjeta,TUV-8765,5.0:51,No
132,01-23-24,TEISA 1,Extra,25.25,2.4,60.6,SUV,60.61,Transferencia,ABC-1234,6.0:36,Sí
133,01-24-24,TEISA 1,Extra,23.21,2.4,55.7,Sedán,55.71,Transferencia,KLM-4321,15.000001,Sí
134,01-24-24,TEISA 1,Diésel,99.46,1.8,179.03,Bus,179.02,Efectivo,Unidad 101,15.0:34,Sí
135,01-24-24,TEISA 1,Diésel,20.93,1.8,37.67,Bus,37.68,Tarjeta,ABC-1234,18.000009,Sí
136,01-24-24,TEISA 1,Diésel,82.74,1.8,148.93,Bus,148.93,Tarjeta,Unidad 101,6.0:26,Sí
137,01-25-24,TEISA 1,Diésel,89.87,1.8,161.77,Bus,161.77,Transferencia,Unidad 101,19.0:27,Sí
138,01-25-24,TEISA 1,Diésel,22.78,1.8,41.0,Motocicleta,41.0,Transferencia,KLM-4321,19.0:43,Sí
139,01-25-24,TEISA 1,Súper,19.85,3.1,61.54,Bus,61.53,Tarjeta,XYZ-5678,12.0:26,Sí
140,01-25-24,TEISA 1,Diésel,98.19,1.8,176.74,Bus,176.75,Transferencia,Unidad 404,8.0:41,Sí
141,01-26-24,TEISA 1,Diésel,16.98,1.8,30.56,Sedán,30.56,Efectivo,ABC-1234,8.0:11,No
142,01-26-24,TEISA 1,Súper,48.84,3.1,151.4,Bus,151.39,Efectivo,Unidad 303,12.0:38,Sí
143,01-26-24,TEISA 2,Diésel,8.9,1.8,16.02,Motocicleta,16.02,Transferencia,XYZ-5678,8.0000000,Sí
144,01-26-24,TEISA 1,Diésel,33.2,1.8,59.76,SUV,59.76,Efectivo,XYZ-5678,7.000002,No
145,01-26-24,TEISA 1,Extra,12.39,2.4,29.74,Motocicleta,29.73,Transferencia,ABC-1234,13.0:42,No
146,01-26-24,TEISA 1,Diésel,85.17,1.8,153.31,Bus,153.3,Tarjeta,Unidad 202,5.0:25,Sí
147,01-27-24,TEISA 1,Diésel,104.2,1.8,187.56,Bus,187.56,Efectivo,Unidad 101,11.0:26,Sí
148,01-27-24,TEISA 1,Diésel,67.34,1.8,121.21,Bus,121.21,Efectivo,Unidad 202,15.0:54,Sí
149,01-27-24,TEISA 1,Extra,76.02,2.4,182.45,Bus,182.45,Transferencia,Unidad 404,18.0:29,Sí
150,01-27-24,TEISA 1,Súper,15.21,3.1,47.15,Bus,47.14,Efectivo,KLM-4321,21.000005,No
151,01-27-24,TEISA 2,Súper,10.7,3.1,33.17,Motocicleta,33.16,Efectivo,KLM-4321,14.0:54,Sí
152,01-27-24,TEISA 1,Diésel,9.16,1.8,16.49,Camioneta,16.49,Tarjeta,XYZ-5678,18.000007,Sí
153,01-27-24,TEISA 1,Diésel,85.09,1.8,153.16,Bus,153.17,Efectivo,Unidad 202,13.0:16,Sí
154,01-28-24,TEISA 1,Súper,6.6,3.1,20.46,SUV,20.47,Tarjeta,TUV-8765,11.0000000,Sí
155,01-28-24,TEISA 1,Diésel,11.95,1.8,21.51,Camioneta,21.51,Transferencia,ABC-1234,20.0:11,Sí
156,01-28-24,TEISA 2,Diésel,41.18,1.8,74.12,Bus,74.13,Efectivo,XYZ-5678,0.0:22,Sí
157,01-28-24,TEISA 1,Extra,32.63,2.4,78.31,SUV,78.32,Tarjeta,TUV-8765,8.0:13,No
158,01-28-24,TEISA 2,Extra,7.06,2.4,16.94,Motocicleta,16.94,Efectivo,KLM-4321,5.0:58,Sí
159,01-29-24,TEISA 1,Súper,19.37,3.1,60.05,Bus,60.06,Tarjeta,TUV-8765,7.0:34,Sí
160,01-29-24,TEISA 1,Súper,23.25,3.1,72.08,Sedán,72.08,Efectivo,TUV-8765,17.0:19,Sí
161,01-29-24,TEISA 1,Súper,44.92,3.1,139.25,Bus,139.25,Tarjeta,Unidad 303,12.0:37,Sí
162,01-29-24,TEISA 1,Súper,33.77,3.1,104.69,Bus,104.69,Efectivo,Unidad 404,6.0:35,Sí
163,01-30-24,TEISA 1,Extra,25.71,2.4,61.7,Sedán,61.71,Transferencia,TUV-8765,13.0:18,No
164,01-30-24,TEISA 1,Súper,42.19,3.1,130.79,Bus,130.78,Tarjeta,Unidad 202,9.0:32,Sí
165,01-30-24,TEISA 1,Extra,9.7,2.4,23.28,Bus,23.27,Transferencia,TUV-8765,15.0:11,No
166,01-30-24,TEISA 1,Extra,12.35,2.4,29.64,Camioneta,29.63,Transferencia,KLM-4321,6.000006,No
167,01-30-24,TEISA 1,Extra,18.3,2.4,43.92,Sedán,43.92,Transferencia,ABC-1234,19.0:46,No
168,01-30-24,TEISA 2,Extra,30.25,2.4,72.6,Bus,72.59,Tarjeta,ABC-1234,6.0:23,Sí
169,01-30-24,TEISA 1,Súper,34.56,3.1,107.14,Bus,107.15,Tarjeta,Unidad 101,11.0:49,Sí
170,01-30-24,TEISA 1,Súper,22.32,3.1,69.19,Bus,69.18,Transferencia,XYZ-5678,6.0000000,No
171,01-31-24,TEISA 1,Diésel,82.48,1.8,148.46,Bus,148.46,Efectivo,Unidad 404,9.0:27,Sí
172,01-31-24,TEISA 1,Súper,46.41,3.1,143.87,Bus,143.88,Efectivo,Unidad 101,9.000007,Sí
173,01-31-24,TEISA 1,Diésel,35.24,1.8,63.43,Motocicleta,63.44,Efectivo,KLM-4321,18.0:53,No
174,01-31-24,TEISA 1,Súper,18.97,3.1,58.81,Motocicleta,58.82,Efectivo,ABC-1234,15.0000000,Sí
175,01-31-24,TEISA 1,Diésel,20.87,1.8,37.57,SUV,37.57,Efectivo,ABC-1234,14.0:14,Sí
176,01-31-24,TEISA 1,Súper,11.1,3.1,34.41,Bus,34.41,Tarjeta,ABC-1234,5.0000000,No
177,01-31-24,TEISA 1,Extra,14.13,2.4,33.91,Camioneta,33.92,Tarjeta,ABC-1234,7.0:12,Sí
178,02-01-24,TEISA 1,Diésel,8.68,1.8,15.62,Camioneta,15.62,Tarjeta,TUV-8765,10.0:33,No
179,02-01-24,TEISA 1,Súper,21.69,3.1,67.24,SUV,67.23,Tarjeta,KLM-4321,14.0:53,Sí
180,02-01-24,TEISA 1,Súper,24.16,3.1,74.9,Motocicleta,74.91,Transferencia,XYZ-5678,21.0:36,No
181,02-01-24,TEISA 1,Diésel,81.57,1.8,146.83,Bus,146.82,Tarjeta,Unidad 202,10.0:27,Sí
182,02-01-24,TEISA 1,Extra,50.89,2.4,122.14,Bus,122.13,Transferencia,Unidad 303,18.000001,Sí
183,02-01-24,TEISA 1,Diésel,14.79,1.8,26.62,SUV,26.63,Tarjeta,ABC-1234,18.0:44,No
184,02-01-24,TEISA 1,Diésel,33.26,1.8,59.87,Camioneta,59.86,Transferencia,KLM-4321,20.0:26,No
185,02-02-24,TEISA 1,Extra,6.52,2.4,15.65,SUV,15.65,Transferencia,XYZ-5678,6.0000000,No
186,02-02-24,TEISA 1,Súper,42.41,3.1,131.47,Bus,131.48,Efectivo,Unidad 303,8.0:18,Sí
187,02-02-24,TEISA 2,Súper,25.65,3.1,79.52,Motocicleta,79.52,Tarjeta,TUV-8765,17.0:34,No
188,02-02-24,TEISA 1,Extra,11.35,2.4,27.24,Motocicleta,27.23,Tarjeta,TUV-8765,17.0:42,No
189,02-02-24,TEISA 2,Súper,5.16,3.1,16.0,Bus,15.99,Transferencia,XYZ-5678,16.0:17,No
190,02-02-24,TEISA 1,Súper,24.19,3.1,74.99,Motocicleta,75.0,Efectivo,TUV-8765,21.0:38,No
191,02-03-24,TEISA 1,Extra,21.13,2.4,50.71,Bus,50.72,Efectivo,ABC-1234,9.0:25,No
192,02-03-24,TEISA 1,Súper,8.95,3.1,27.74,Motocicleta,27.76,Efectivo,TUV-8765,16.0000000,Sí
193,02-03-24,TEISA 1,Diésel,109.78,1.8,197.6,Bus,197.61,Transferencia,Unidad 404,9.0:46,Sí
194,02-03-24,TEISA 2,Súper,9.59,3.1,29.73,SUV,29.72,Transferencia,ABC-1234,20.0:15,No
195,02-03-24,TEISA 2,Súper,23.81,3.1,73.81,SUV,73.8,Transferencia,XYZ-5678,9.000009,Sí
196,02-03-24,TEISA 1,Súper,6.35,3.1,19.68,Sedán,19.68,Efectivo,KLM-4321,18.0:47,No
197,02-04-24,TEISA 1,Súper,22.61,3.1,70.09,Motocicleta,70.1,Efectivo,KLM-4321,16.0:24,Sí
198,02-04-24,TEISA 1,Diésel,97.53,1.8,175.55,Bus,175.56,Efectivo,Unidad 303,21.0:38,Sí
199,02-04-24,TEISA 1,Extra,82.21,2.4,197.3,Bus,197.3,Transferencia,Unidad 303,6.0:23,Sí
200,02-04-24,TEISA 1,Extra,32.03,2.4,76.87,Camioneta,76.88,Efectivo,TUV-8765,9.0:53,Sí
201,02-05-24,TEISA 1,Súper,52.99,3.1,164.27,Bus,164.27,Efectivo,Unidad 202,18.0:25,Sí
202,02-05-24,TEISA 1,Diésel,24.14,1.8,43.45,Bus,43.46,Efectivo,KLM-4321,17.0:44,Sí
203,02-05-24,TEISA 1,Diésel,13.57,1.8,24.43,Camioneta,24.42,Efectivo,ABC-1234,16.000002,Sí
204,02-05-24,TEISA 1,Súper,5.53,3.1,17.14,Sedán,17.14,Efectivo,TUV-8765,6.0:35,Sí
205,02-05-24,TEISA 1,Súper,24.94,3.1,77.31,SUV,77.3,Transferencia,KLM-4321,5.0:17,Sí
206,02-05-24,TEISA 1,Diésel,89.07,1.8,160.33,Bus,160.33,Transferencia,Unidad 303,15.0:37,Sí
207,02-05-24,TEISA 1,Extra,6.59,2.4,15.82,Camioneta,15.81,Transferencia,ABC-1234,7.0:58,Sí
208,02-06-24,TEISA 1,Extra,66.76,2.4,160.22,Bus,160.22,Transferencia,Unidad 101,13.0:59,Sí
209,02-06-24,TEISA 1,Extra,30.09,2.4,72.22,Sedán,72.22,Efectivo,ABC-1234,5.0000000,Sí
210,02-06-24,TEISA 1,Súper,21.16,3.1,65.6,Bus,65.59,Transferencia,TUV-8765,12.0:37,No
211,02-06-24,TEISA 1,Diésel,14.56,1.8,26.21,Motocicleta,26.21,Tarjeta,XYZ-5678,20.000006,No
212,02-07-24,TEISA 1,Extra,15.84,2.4,38.02,Sedán,38.01,Tarjeta,ABC-1234,15.0:24,No
213,02-07-24,TEISA 1,Diésel,6.59,1.8,11.86,Bus,11.87,Efectivo,TUV-8765,17.0:27,No
214,02-07-24,TEISA 1,Súper,22.3,3.1,69.13,Sedán,69.14,Efectivo,ABC-1234,21.0:39,No
215,02-07-24,TEISA 1,Extra,64.38,2.4,154.51,Bus,154.5,Transferencia,Unidad 303,10.0:21,Sí
216,02-07-24,TEISA 1,Extra,19.93,2.4,47.83,Motocicleta,47.83,Transferencia,TUV-8765,5.0:26,Sí
217,02-07-24,TEISA 1,Súper,23.29,3.1,72.2,Sedán,72.19,Tarjeta,TUV-8765,19.000007,No
218,02-07-24,TEISA 1,Súper,24.6,3.1,76.26,Camioneta,76.26,Tarjeta,TUV-8765,8.000006,Sí
219,02-08-24,TEISA 1,Extra,56.42,2.4,135.41,Bus,135.4,Transferencia,Unidad 101,5.0:17,Sí
